Development Name,Borough,Account Name,Location,Meter AMR,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Rate Class,Bill Analyzed,Consumption (Therms),ES Commodity,Underlying Utility
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 08,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8640503,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3629820,N,84.66,TR I NR,Yes,88.22,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 10,AMR,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8640503,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3760316,N,27.9,TR I NR,Yes,29.07,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 03,AMR,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8640503,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3760317,N,237.14,TR I NR,Yes,247.1,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 03,AMR,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8640503,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3760321,N,0,TR I NR,Yes,0,UTILITY GAS,ConEd
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 26,NONE,11,208,B001100,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3270698,Y,68.97,TR I NR,Yes,145.84,UTILITY GAS,ConEd
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 26,NONE,11,208,B001100,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3332259,Y,53.91,TR I NR,Yes,114,UTILITY GAS,ConEd
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 44,NONE,11,208,B001100,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3337922,Y,33.51,TR I NR,Yes,70.86,UTILITY GAS,ConEd
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 13,NONE,11,208,B001100,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3340165,Y,83.54,TR I NR,Yes,176.65,UTILITY GAS,ConEd
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 13,NONE,11,208,B001100,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3340170,Y,35.94,TR I NR,Yes,76,UTILITY GAS,ConEd
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 35,NONE,11,208,B001100,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3356269,Y,73.34,TR I NR,Yes,155.08,UTILITY GAS,ConEd
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 35,NONE,11,208,B001100,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3356270,Y,7.77,TR I NR,Yes,16.43,UTILITY GAS,ConEd
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 44,NONE,11,208,B001100,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3356272,Y,20.4,TR I NR,Yes,43.14,UTILITY GAS,ConEd
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 02,NONE,11,208,B001100,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3515668,Y,102.47,TR I NR,Yes,216.7,UTILITY GAS,ConEd
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 01,AMR,11,208,B001100,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3629564,Y,123.36,TR I NR,Yes,260.86,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 08,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3230723,Y,62.17,TR I NR,Yes,131.46,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 12,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3267211,Y,61.68,TR I NR,Yes,130.43,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 07,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3267547,Y,40.31,TR I NR,Yes,85.24,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 06,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3337320,Y,72.37,TR I NR,Yes,153.03,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 09,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3337635,Y,15.54,TR I NR,Yes,32.86,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 07,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3356020,Y,55.37,TR I NR,Yes,117.08,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 12,AMR,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3356329,Y,94.71,TR I NR,Yes,200.27,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 06,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3356392,Y,62.65,TR I NR,Yes,132.49,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 11,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3356434,Y,130.16,TR I NR,Yes,275.24,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 45,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3435199,Y,45.65,TR I NR,Yes,96.54,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 45,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3435205,Y,76.25,TR I NR,Yes,161.24,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 04,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3510668,Y,101.02,TR I NR,Yes,213.62,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 13,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3515754,Y,125.79,TR I NR,Yes,266,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 13,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3515797,Y,3.89,TR I NR,Yes,8.22,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 10,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3521144,Y,133.56,TR I NR,Yes,282.43,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 09,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3521420,Y,136.47,TR I NR,Yes,288.59,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 11,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3521506,Y,0,TR I NR,Yes,0,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 10,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3522016,Y,0.97,TR I NR,Yes,2.05,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 01,AMR,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3619031,Y,0,TR I NR,Yes,0,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 03,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3619394,Y,37.88,TR I NR,Yes,80.11,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 02,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3629306,Y,25.74,TR I NR,Yes,54.43,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 03,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3629571,Y,88.88,TR I NR,Yes,187.95,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 08,NONE,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3629820,Y,69.94,TR I NR,Yes,147.89,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,SOUNDVIEW BLD 10,AMR,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3760316,Y,13.6,TR I NR,Yes,28.76,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 03,AMR,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3760317,Y,152.5,TR I NR,Yes,322.49,UTILITY GAS,ConEd
SOUNDVIEW,BRONX,CLASON POINT GARDENS/SOUNDVIEW,CLASON POINT GARDENS BLD 03,AMR,71,537,B007100,FEDERAL,NY005000710P,CONSOLIDATED EDISON COMPANY OF NY,8734087,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3760321,Y,0,TR I NR,Yes,0,UTILITY GAS,ConEd
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS/SOUNDVIEW,,Not Applicable,11,208,B001100,FEDERAL,NY005012800P,EAST COAST POWER & GAS,8597767,2020-02-01T00:00:00.000,1/21/2020,2/16/2020,26,3.95E+14,N,2837.3,,Yes,9380.03,BROKERED GAS,ConEd
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS/SOUNDVIEW,,Not Applicable,11,208,B001100,FEDERAL,NY005012800P,EAST COAST POWER & GAS,8710695,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,3.95E+14,N,1422.47,,Yes,4690,BROKERED GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 04,NONE,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8656746,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,6900758,Y,442.61,TR I NR,Yes,814.04,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 04,NONE,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8656746,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,6900761,Y,639.39,TR I NR,Yes,1175.96,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 04,NONE,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8735432,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,6900758,Y,295.3,TR I NR,Yes,540.93,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 04,NONE,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8735432,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,6900761,Y,484.82,TR I NR,Yes,888.07,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 04,NONE,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8845840,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,6900758,Y,201.99,TR I NR,Yes,370.88,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 04,NONE,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8845840,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,6900761,Y,566.48,TR I NR,Yes,1040.12,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,,Not Applicable,123,245,M012300,FEDERAL,NY005001230P,EAST COAST POWER & GAS,8598001,2020-02-01T00:00:00.000,1/21/2020,2/16/2020,26,4.95E+14,N,865.09,,Yes,2860,BROKERED GAS,ConEd
CLINTON,MANHATTAN,CLINTON,,Not Applicable,123,245,M012300,FEDERAL,NY005001230P,EAST COAST POWER & GAS,8710951,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,4.95E+14,N,433.72,,Yes,1430,BROKERED GAS,ConEd
CLINTON,MANHATTAN,CLINTON,,Not Applicable,123,245,M012300,FEDERAL,NY005001230P,EAST COAST POWER & GAS,8825097,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,4.95E+14,N,427.96,,Yes,1411,BROKERED GAS,ConEd
CLINTON,MANHATTAN,CLINTON,,Not Applicable,123,245,M012300,FEDERAL,NY005001230P,EAST COAST POWER & GAS,8926382,2020-05-01T00:00:00.000,4/23/2020,5/22/2020,29,4.95E+14,N,485.89,,Yes,1602,BROKERED GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 05,NONE,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8648852,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3892962,N,192.88,TR I NR,Yes,312.01,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 05,NONE,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8648852,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3892968,N,262.72,TR I NR,Yes,424.99,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 05,NONE,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8735316,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3892962,Y,132.07,TR I NR,Yes,210.34,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 05,NONE,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8735316,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3892968,Y,227.72,TR I NR,Yes,362.66,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 05,NONE,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8828184,2020-04-01T00:00:00.000,3/25/2020,4/25/2020,31,3892962,Y,128.26,TR I NR,Yes,205.14,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 05,NONE,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8828184,2020-04-01T00:00:00.000,3/25/2020,4/25/2020,31,3892968,Y,231.25,TR I NR,Yes,369.86,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,,Not Applicable,123,245,M012300,FEDERAL,NY005001230P,EAST COAST POWER & GAS,8598002,2020-02-01T00:00:00.000,1/21/2020,2/16/2020,26,4.95E+14,N,173.33,,Yes,573,BROKERED GAS,ConEd
CLINTON,MANHATTAN,CLINTON,,Not Applicable,123,245,M012300,FEDERAL,NY005001230P,EAST COAST POWER & GAS,8710953,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,4.95E+14,N,173.79,,Yes,573,BROKERED GAS,ConEd
CLINTON,MANHATTAN,CLINTON,,Not Applicable,123,245,M012300,FEDERAL,NY005001230P,EAST COAST POWER & GAS,8825098,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,4.95E+14,N,174.39,,Yes,575,BROKERED GAS,ConEd
CLINTON,MANHATTAN,CLINTON,,Not Applicable,123,245,M012300,FEDERAL,NY005001230P,EAST COAST POWER & GAS,8926383,2020-05-01T00:00:00.000,4/23/2020,5/22/2020,29,4.95E+14,N,175.61,,Yes,579,BROKERED GAS,ConEd
COLLEGE AVENUE-EAST 165TH STREET,BRONX,COLLEGE AVENUE-EAST 165TH STREET,BLD 01,NONE,236,351,B023600,FEDERAL,NY005013080P,CONSOLIDATED EDISON COMPANY OF NY,8628747,2020-02-01T00:00:00.000,1/24/2020,2/25/2020,32,3267301,Y,335.77,TR I NR,Yes,523,UTILITY GAS,ConEd
COLLEGE AVENUE-EAST 165TH STREET,BRONX,COLLEGE AVENUE-EAST 165TH STREET,BLD 01,NONE,236,351,B023600,FEDERAL,NY005013080P,CONSOLIDATED EDISON COMPANY OF NY,8723312,2020-03-01T00:00:00.000,2/25/2020,3/25/2020,29,3267301,Y,178.18,TR I NR,Yes,228,UTILITY GAS,ConEd
CONEY ISLAND,BROOKLYN,CONEY ISLAND,,Not Applicable,94,671,K009400,FEDERAL,NY005011700P,EAST COAST POWER & GAS,8825451,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,2308910450,N,118.08,,Yes,363,BROKERED GAS,NatGrid NYC
COLLEGE AVENUE-EAST 165TH STREET,BRONX,COLLEGE AVENUE-EAST 165TH STREET,BLD 01,NONE,236,351,B023600,FEDERAL,NY005013080P,CONSOLIDATED EDISON COMPANY OF NY,8813145,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,3267301,Y,177.74,TR I NR,Yes,228,UTILITY GAS,ConEd
COLLEGE AVENUE-EAST 165TH STREET,BRONX,COLLEGE AVENUE-EAST 165TH STREET,BLD 01,Not Applicable,236,351,B023600,FEDERAL,NY005013080P,EAST COAST POWER & GAS,8597729,2020-02-01T00:00:00.000,1/21/2020,2/16/2020,26,3.95E+14,N,81.97,,Yes,271,BROKERED GAS,ConEd
COLLEGE AVENUE-EAST 165TH STREET,BRONX,COLLEGE AVENUE-EAST 165TH STREET,BLD 01,Not Applicable,236,351,B023600,FEDERAL,NY005013080P,EAST COAST POWER & GAS,8710658,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,3.95E+14,N,82.19,,Yes,271,BROKERED GAS,ConEd
COLLEGE AVENUE-EAST 165TH STREET,BRONX,COLLEGE AVENUE-EAST 165TH STREET,BLD 01,Not Applicable,236,351,B023600,FEDERAL,NY005013080P,EAST COAST POWER & GAS,8824562,2020-04-01T00:00:00.000,3/25/2020,4/23/2020,29,3.95E+14,N,69.15,,Yes,228,BROKERED GAS,ConEd
COLLEGE AVENUE-EAST 165TH STREET,BRONX,COLLEGE AVENUE-EAST 165TH STREET,BLD 01,Not Applicable,236,351,B023600,FEDERAL,NY005013080P,EAST COAST POWER & GAS,8925844,2020-05-01T00:00:00.000,4/23/2020,5/22/2020,29,3.95E+14,N,81.89,,Yes,270,BROKERED GAS,ConEd
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 04,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8665183,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,4557890,N,198.7,T1A TRAN RES N-Ht,Yes,211.76,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 04,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8665183,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,4952901,N,73.42,T1A TRAN RES N-Ht,Yes,78.24,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 04,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8764755,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,4557890,N,237.74,T1A TRAN RES N-Ht,Yes,256.35,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 04,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8764755,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,4952901,N,60.88,T1A TRAN RES N-Ht,Yes,65.65,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 04,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8861033,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,4557890,N,258.2,T1A TRAN RES N-Ht,Yes,288.53,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 04,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8861033,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,4952901,N,109.6,T1A TRAN RES N-Ht,Yes,122.47,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 03,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8665185,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,5020856,N,206.36,T1A TRAN RES N-Ht,Yes,217.45,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 03,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8665185,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,5297785,N,55.57,T1A TRAN RES N-Ht,Yes,58.55,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 03,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8764757,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,5020856,N,228.77,T1A TRAN RES N-Ht,Yes,244.49,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 03,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8764757,2020-03-01T00:00:00.000,2/25/2020,3/26/2020,30,5297785,N,60.36,T1A TRAN RES N-Ht,Yes,64.51,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 03,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8861035,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,5020856,N,276.45,T1A TRAN RES N-Ht,Yes,301.63,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 03,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8861035,2020-04-01T00:00:00.000,3/26/2020,4/27/2020,32,5297785,N,56.25,T1A TRAN RES N-Ht,Yes,61.37,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 02,AMR,94,671,K009400,FEDERAL,ny005011700p,National Grid NYC,8665186,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,512706,N,232.19,T1A TRAN RES N-Ht,Yes,278.59,UTILITY GAS,NatGrid NYC
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 02,AMR,94,671,K009400,FEDERAL,NY005011700P,National Grid NYC,8665186,2020-02-01T00:00:00.000,1/27/2020,2/25/2020,29,5151051,Y,248.7,T1A TRAN RES N-Ht,Yes,298.41,UTILITY GAS,NatGrid NYC
